1,Amani Deepthi,,Matta,,1997-09-21,4704698938,amanideepthi9@gmail.com,15,53,Central Park West,10023,Manhattan,NY,Manhattan,40.7697229,-73.9832686,amanimatta,AmaniDeepthi123!,5,20
2,Sree ,,Matta,123456789,1994-02-20,8579027890,sreekmatta@gmail.com,15,53,Central Park West,10023,Manhattan,NY,Manhattan,40.7697229,-73.9832686,sreekmatta,SreeKeerthi123!,5,10
3,Surya Teja,,Maddikonda,234567890,1994-01-17,9834567890,smaddikonda@hotmail.com,11523,,15th Ave,11356,Queens,NY,Queens,40.7841091,-73.8504473,smaddikonda,Sai098@123,5,5
4,Rob,,Chenoweth,345678901,1956-07-18,8769072345,rchenoweth@yahoo.in,17,45,E 17th St,11226,Brooklyn,NY,Kings,40.650611,-73.9661818,rchenoweth,rcheno456@12,3,30
5,Charise,,Angderson,456789012,1982-08-19,9885283742,changderson@rocketmail.com,285,33,Saint Johns Pl,11238,Brooklyn,NY,Kings,40.6744412,-73.970276,cangderson,cang234!098,4,40
6,Annesha ,,Mondal,567890123,2006-01-01,8985563372,annmondal@nyu.edu,150,55,W 56th Street,10019,New York,NY,Manhattan,40.7642886,-73.9818794,annmondal,ann123#123,5,50
7,Siri,R,Chenoweth,678901234,1947-09-23,8985573372,sirir@gmail.com,20,32,Butler Place,11238,Brooklyn,NY,Kings,40.6747698,-73.9704474,schenoweth,siri456^789,3,50
8,Michael,,Henderson,789012345,1995-02-17,9491103704,michaelh@yahoo.in,39,2L,Argyle Rd,11218,Brooklyn,NY,Kings,40.6486349,-73.9696317,mhenderson,mhender$123,5,50
9,Enrico ,,Bertini,,1974-05-20,9054372890,enrico.bertini@nyu.edu,1,66,Grand Army Plaza,11238,Brooklyn,NY,Kings,40.6735667,-73.9690877,ebertini,enricobertini@123,4,60
10,Ralph,,Smith,901234556,1985-01-01,9175834110,ralphsmithphoto@gmail.com,1,,Main Street,55118,Mendota Heights,MN,Dakota,44.884725,-93.1238748,test1,password1234,4,40
